pc1,pc2,pc3,pc4
0.257716286,-2.512875544,1.896042804,-1.261329539
-2.40376529,-1.086634865,-0.731078027,0.159305188
-1.710958399,-0.570269624,0.723384414,0.923009194
-0.290045645,-0.92943891,-2.119752631,0.587456655
0.91837039,-0.400892477,-1.103876359,1.337988746
1.274023284,-0.054719984,-1.119862334,1.391959338
-0.007925508,-1.963384098,-2.615429304,0.690917345
0.812333909,1.358236293,0.040009923,1.816584802
0.049327559,0.491663769,0.714843011,1.871149309
-2.141924906,1.18116016,0.240871781,1.156727728
0.30179727,1.411784155,0.603396752,1.716639785
-1.343687058,-0.680054029,-1.57614906,0.370571517
-2.651126858,-1.719983179,-0.186000549,-1.349299381
-2.393528251,-0.599340562,-0.346953889,0.851935274
0.239998373,-0.267672354,-0.9702557,0.922811945
-2.479328419,-1.953293343,0.714471915,0.220850501
-1.869592435,-1.392085805,-0.310272333,0.163146435
-0.904880439,-0.742025878,-0.611823399,1.215452813
-2.282859812,-1.71626831,-0.369527252,0.79907339
-1.745018981,0.08573041,-1.295509942,0.969528879
-1.612248876,-0.503369393,-0.64897038,1.312588543
-2.791970805,-0.422782796,-0.942634523,1.362560216
-2.615285622,0.017673103,-0.758652793,1.102729422
-2.843659728,-0.155389781,-1.317156984,1.265958982
-2.193949926,0.299069908,-0.473805139,1.163637851
-2.65482118,-0.3028914,-0.872098984,1.172487113
-3.621993022,0.031522191,-0.607455474,0.634355958
-2.285186252,-0.39736216,-0.991946646,0.778397949
-3.731145535,-1.003532616,-1.332717785,0.799198256
-4.710309993,-0.183018559,-0.898942158,0.802439644
-1.446643883,-0.70919925,-1.535772387,0.277752002
-0.844118678,-0.620980866,-1.084094847,0.402330303
-2.876261228,-0.947468365,-1.051803239,0.267701248
-2.419984044,-1.257315593,-1.934816845,0.857504663
-3.232391049,0.321390635,-0.516817117,2.453225714
-1.029116254,0.028091792,0.557086113,2.350543373
-1.541052729,0.140105803,-0.658405997,2.452742399
-0.069644661,-0.697898942,0.478195957,1.059822
-0.94365066,-0.97633397,0.195118004,1.228359834
-1.528515921,-0.347591164,0.581725723,1.29107964
-1.743835225,-0.405447591,0.303591113,1.484479358
-2.255698869,-0.483368147,-0.240937753,1.978962269
-3.219256727,-0.68387107,0.099905425,1.546617648
-2.666667321,-0.253431778,0.456182763,1.405180831
-2.435764597,-0.050808772,0.723251854,0.271887728
-1.642747539,-0.371434844,-0.173400795,1.48946859
-2.60400313,-0.067016581,0.897302113,0.800918057
-2.61873663,0.11185448,-0.159486263,0.877829942
-2.530236127,0.164681433,0.113198625,0.609010037
-4.700457128,-0.145236682,1.495395673,1.667154969
-1.19510401,0.357550084,0.635951142,0.850422393
-3.340346789,0.492594102,-1.309929596,1.224126687
-3.290571059,-0.534855247,2.216407325,0.826774242
0.542311029,-0.027665728,-1.113370479,1.770323458
-2.953452612,-1.224652161,-0.965532389,0.904853191
-4.615821149,-0.337512617,-2.010582646,1.507772724
-1.787385526,-0.467276175,0.429808319,0.941240354
1.435188475,-0.953092204,-1.992178605,0.674841055
-0.482764494,-0.393143143,-1.693311748,2.294626106
-1.77267806,0.383511874,-2.177029955,0.673009113
0.991028419,0.102460933,-0.443158634,1.157046907
1.189238841,-0.354146126,-0.901148364,1.051907118
-0.292307139,-1.118674326,-2.471677678,1.009538709
-2.077393138,-1.159296605,-0.651634882,1.295314764
1.984771404,-0.95961233,-2.851331022,0.366552199
-1.706993055,-0.242094421,-1.852869295,0.635177307
-0.760557507,-0.919753826,-3.090387939,0.335601601
-2.515992494,0.064345856,-1.23737787,1.603163787
0.559569363,0.029205054,-2.32476601,0.497998484
-1.015761797,-0.698966625,-2.185748948,0.241142641
0.846459225,-0.156233475,-3.315483665,0.184717094
-0.232069848,0.153188023,-2.873221106,0.263084623
-0.563177246,0.302336231,-2.16647387,1.623694026
0.385636202,-0.656046989,-1.964199034,1.835364965
0.284571415,-1.183291624,-1.738577874,1.687016988
0.032893951,-0.359049737,-1.501812741,0.483396124
-3.580221082,-0.446656062,-0.592725289,1.197395334
-0.429952884,-0.677546709,-1.494417148,1.3174088
-1.837893185,-1.630818095,-1.068235899,0.977451356
-2.613784952,-1.034542427,-1.485485887,0.557404596
-3.34391967,-0.974568653,-2.033780077,0.639027745
-0.089789484,-0.418491484,-1.639664225,0.334159631
-0.533122942,0.871786681,-1.825506079,-0.107118339
-0.410521058,0.842220667,-2.088988601,-0.105513944
-0.019148181,0.769736622,-2.129964438,-0.094947487
-1.825002948,0.266037292,-2.878176815,1.511582281
-2.828494748,-0.867021729,-1.81550878,0.081775252
2.164694266,-0.581004096,-1.967529067,0.603675156
-2.959751454,-0.801543657,-2.62036507,0.239476727
-0.811381045,-0.35175132,-2.73060006,0.468780703
1.104700076,-0.839370441,-1.441309283,1.190871146
0.36010001,-1.19884004,-0.965202859,-0.144409282
0.690311707,0.272415876,-2.424439304,0.218506035
-1.174751193,0.136034128,0.371984295,1.150830578
2.365956605,-0.602290711,-1.289727626,1.461559245
-0.684258963,-1.271567627,-0.54875187,0.525436748
0.063471836,0.464452244,-1.290646838,0.40115574
-0.677127223,-0.847242617,-1.501022907,0.055542813
-1.607947717,-0.031929346,-1.244230959,0.676776602
1.168728245,-0.138373851,-2.218014961,1.300592812
0.703761214,-1.293014041,-2.926128785,2.057778875
-4.048971113,-0.178961771,-1.987977392,1.178735956
0.115123708,-0.651671588,-2.278180034,0.715506477
-1.720754123,0.114248531,-2.213362026,1.376059205
-0.762628257,-2.316039051,-3.417369838,1.153675676
1.691207667,-1.204273116,-2.160015502,-0.475050108
-0.352118001,-1.233556085,-1.501007448,0.690887621
0.49761174,-0.837666952,-0.338261302,2.19367278
-1.381006966,-0.001987038,-1.443342126,1.413402222
0.492000371,-1.245239219,-1.641056685,0.833218399
-1.265192691,-0.871762922,-1.080791546,1.061660251
-0.10500055,-0.484413395,-0.541670544,1.305253243
-1.645022158,0.210715767,-2.001528878,1.812882218
-0.439766049,0.267619566,-2.291320481,1.901634765
0.411254489,-1.447877277,-2.485903075,1.265376135
-1.458924433,-0.50422166,-1.715157601,0.675746211
-5.459030704,-1.642951441,0.171116821,0.793304832
-5.694311786,0.347025843,-0.057372748,1.157536386
